count_locations,count_time,counters,total_bike,female_bike,male_bike,total_ped,female_ped,male_ped,other,female_bike_helmet_sidewalk,female_bike_nohelmet_sidewalk,female_bike_helmet_nosidewalk,female_bike_nohelmet_nosidewalk,female_bike_helmet,female_bike_nohelmet,female_bike_sidewalk,female_bike_nosidewalk,male_bike_helmet_sidewalk,male_bike_nohelmet_sidewalk,male_bike_helmet_nosidewalk,male_bike_nohelmet_nosidewalk,male_bike_helmet,male_bike_nohelmet,male_bike_sidewalk,male_bike_nosidewalk
28,1,11,26,3,23,22,10,12,0,,,,,,,,,,,,,,,,
28,2,21,24,6,18,37,20,17,0,,,,,,,,,,,,,,,,
28,3,32,16,1,15,18,3,15,0,,,,,,,1,0,,,,,,,8,7
28,5,32,15,3,12,29,13,16,0,,,,,,,3,0,,,,,,,7,5
29,1,10,27,5,22,6,5,1,1,,,,,,,,,,,,,,,,
29,2,26,18,3,15,8,6,2,0,,,,,,,1,2,,,,,,,3,12
29,3,10,25,6,19,16,11,5,0,,,,,,,0,5,,,,,,,3,16
29,5,25,27,5,22,18,10,8,0,,,,,,,2,3,,,,,,,0,22
29,7,25,19,2,17,7,3,4,0,,,,,2,0,,,,,,,11,6,,
30,2,26,9,0,9,5,3,2,0,,,,,,,0,0,,,,,,,9,0
31,2,10,67,11,56,54,35,19,6,,,,,,,6,5,,,,,,,13,43
31,3,10,54,6,48,43,25,18,1,,,,,,,5,1,,,,,,,24,24
31,4,10,70,13,57,30,10,20,5,1,6,6,0,7,6,7,6,13,12,29,3,42,15,25,15
31,5,10,48,7,41,65,33,32,1,,,,,,,5,2,,,,,,,12,29
32,3,12,27,4,23,329,208,121,5,,,,,,,2,2,,,,,,,4,19
32,7,10,69,17,42,52,17,35,1,,,,,8,9,,,,,,,32,10,,
33,3,12,30,5,25,330,208,122,6,,,,,,,3,2,,,,,,,11,14
34,1,21,4,2,2,13,6,7,0,,,,,,,,,,,,,,,,
35,1,17,22,,,2,,,0,,,,,,,,,,,,,,,,
36,1,18,8,2,6,66,31,35,0,,,,,,,,,,,,,,,,
37,1,18,11,0,11,32,17,15,4,,,,,,,,,,,,,,,,
38,1,36,104,,,,,,,,,,,,,,,,,,,,,,
39,1,36,25,,,,,,,,,,,,,,,,,,,,,,
40,1,19,8,,,25,,,1,,,,,,,,,,,,,,,,
41,1,19,15,,,41,,,1,,,,,,,,,,,,,,,,
42,1,19,26,,,74,,,0,,,,,,,,,,,,,,,,
43,1,19,8,,,72,,,0,,,,,,,,,,,,,,,,
44,1,36,9,,,,,,,,,,,,,,,,,,,,,,
44,4,39,31,4,27,78,45,33,0,0,0,4,0,4,0,0,4,1,3,20,3,21,6,4,23
45,1,20,47,10,37,363,185,178,,,,,,,,,,,,,,,,,
46,1,21,43,1,42,150,79,71,,,,,,,,,,,,,,,,,
