1,28,11,26,3,23,22,10,12,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Oak Grove Rd,north of Ygnacio,N,35,2,37.928131,-122.015282,2012,9
1,44,36,9,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Newell Ave,east of Californa,N,35,2,37.892683,-122.060885,2012,9
1,42,19,26,\N,\N,74,\N,\N,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Civic Dr,Broadway,N,35,4,37.902604,-122.060937,2012,9
1,40,19,8,\N,\N,25,\N,\N,1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Civic Dr,Ygnacio,N,35,4,37.906551,-122.058868,2012,9
1,36,18,8,2,6,66,31,35,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Parkside Dr,Main St.,N,35,4,37.912,-122.065124,2012,9
1,17,4,39,9,30,233,101,132,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,California Blvd,between Bonanza and Almond ,N,35,2,37.899985,-122.063921,2012,9
1,22,18,8,3,5,90,36,54,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Main St,Parkside,N,35,4,37.911944,-122.065422,2012,9
2,3,24,114,30,84,70,51,19,0,\N,\N,\N,\N,17,13,\N,\N,\N,\N,\N,\N,55,29,\N,\N,Contra Costa Canal Trail,west of Oak Rd.,Y,15,1,37.92183,-122.058557,2013,5
2,8,7,26,4,22,118,53,65,2,\N,\N,\N,\N,\N,\N,3,1,\N,\N,\N,\N,\N,\N,5,17,Newell Ave,between Main and California,N,35,3,37.892827,-122.059865,2013,5
2,5,25,208,54,154,165,81,84,2,\N,\N,\N,\N,39,15,\N,\N,\N,\N,\N,\N,102,52,\N,\N,Contra Costa Trail,East of Oak,Y,15,1,37.921938,-122.057628,2013,5
2,9,23,13,3,10,59,23,36,1,\N,\N,\N,\N,\N,\N,1,2,\N,\N,\N,\N,\N,\N,3,7,Olympic Blvd,west of California,N,35,2,37.895942,-122.063197,2013,5
2,30,26,9,0,9,5,3,2,0,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N,\N,\N,9,0,Ygnacio ,at Walnut/Bancroft,N,35,4,37.920828,-122.034317,2013,5
2,10,22,59,13,46,33,16,17,2,\N,\N,\N,\N,\N,\N,5,8,\N,\N,\N,\N,\N,\N,6,40,Olympic Blvd,west of Newell,N,35,2,37.892598,-122.061426,2013,5
2,11,8,25,3,22,584,345,239,1,\N,\N,\N,\N,\N,\N,2,1,\N,\N,\N,\N,\N,\N,12,10,Mt. Diablo Blvd,between Main and Broadway Plaza,N,35,4,37.897466,-122.059474,2013,5
2,20,15,9,0,9,41,18,23,2,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N,\N,\N,7,2,Civic Dr,between Parkside and Pine,N,35,4,37.911235,-122.05994,2013,5
2,28,21,24,6,18,37,20,17,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Oak Grove Rd,north of Ygnacio,N,35,2,37.928131,-122.015282,2013,5
2,29,26,18,3,15,8,6,2,0,\N,\N,\N,\N,\N,\N,1,2,\N,\N,\N,\N,\N,\N,3,12,Walnut Ave,south of Ygnacio,N,35,2,37.920404,-122.033634,2013,5
2,14,2,20,6,14,164,79,85,1,\N,\N,\N,\N,\N,\N,1,5,\N,\N,\N,\N,\N,\N,4,10,Lincoln Ave,between Carmel and Broadway,N,35,4,37.90063,-122.059031,2013,5
2,16,20,42,9,33,232,84,148,1,\N,\N,\N,\N,\N,\N,0,9,\N,\N,\N,\N,\N,\N,4,29,California Blvd,immediately south of Ygnacio,N,35,2,37.904599,-122.065584,2013,5
2,25,3,5,1,4,13,6,7,1,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,\N,\N,1,3,Buena Vista Ave,immediately north of Parkside,N,35,4,37.909476,-122.069795,2013,5
2,24,18,7,0,7,75,30,45,4,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N,\N,\N,7,0,Parkside Dr,west of Pimlico,N,35,4,37.911793,-122.06187,2013,5
